Date;CPI;Fraction;GS2;GS10;2y_returns;2y_real_returns;10y_returns;10y_real_returns
1987-01;111,2;1987,041667;6,337;7,178;1,005393856;1,47413538;1,009205197;1,43422579
1987-02;111,6;1987,125;6,31;7,159;1,005767062;1,472756972;1,007328003;1,438316613
1987-03;112,1;1987,208333;6,621;7,537;0,999674652;1,475941312;0,979620457;1,443663567
1987-04;112,7;1987,291667;7,321;8,179;0,993035047;1,468880113;0,96276396;1,407934413
1987-05;113,1;1987,375;7,682;8,463;0,999685982;1,450883775;0,98779894;1,348291962
1987-06;113,5;1987,458333;7,469;8,367;1,010194441;1,445298451;1,013507278;1,327131056
1987-07;113,8;1987,541667;7,616;8,652;1,003610351;1,454886973;0,988042358;1,340316695
1987-08;114,4;1987,625;7,931;8,967;1,000762722;1,4562904;0,986565995;1,32079857
1987-09;115;1987,708333;8,56;9,587;0,995526706;1,449757433;0,967889305;1,296220751
1987-10;115,3;1987,791667;7,558;8,875;1,024959988;1,435742125;1,054833948;1,248052472
1987-11;115,4;1987,875;7,741;8,972;1,003048344;1,46774932;1,00104014;1,313062736
1987-12;115,4;1987,958333;7,779;8,859;1,005776221;1,470947768;1,014916364;1,313289486
1988-01;115,7;1988,041667;7,196;8,256;1,016891239;1,479444287;1,048120507;1,332878989
1988-02;116;1988,125;7,099;8,149;1,007730115;1,500533069;1,014142198;1,393395457
1988-03;116,5;1988,208333;7,383;8,542;1,000854574;1,508221675;0,980564101;1,40944656
1988-04;117,1;1988,291667;7,72;8,889;1,000166328;1,503031976;0,98430167;1,376121143
1988-05;117,5;1988,375;8,168;9,151;0,99850994;1,495579417;0,99037031;1,347578022
1988-06;118;1988,458333;8,026;8,873;1,009321557;1,488267167;1,025917908;1,33005794
1988-07;118,5;1988,541667;8,366;9,105;1,00068656;1,495775133;0,992278398;1,358748351
1988-08;119;1988,625;8,685;9,236;1,001357938;1,490486452;0,999099459;1,342567791
1988-09;119,8;1988,708333;8,474;8,935;1,01095824;1,486239389;1,027449987;1,335722792
1988-10;120,2;1988,791667;8,206;8,644;1,011799809;1,492492394;1,026781111;1,363223835
1988-11;120,3;1988,875;8,814;9,054;0,996152143;1,505078217;0,980432343;1,395074473
